"Number","Player","Type","Rarity"
"B-1","Grayson Constable","Base","1 - Common"
"B-2","David Clements","Base","1 - Common"
"B-3","Kim Tallberg","Base","1 - Common"
"B-4","Mat Robson","Base","1 - Common"
"B-5","Jack Hopkins","Base","1 - Common"
"B-6","Archie Hazeldine","Base","1 - Common"
"B-7","Matthew Gleason","Base","1 - Common"
"B-8","Alessio Luciani","Base","1 - Common"
"B-9","Mack Stewart","Base","1 - Common"
"B-10","Ivan Chukarov","Base","1 - Common"
"B-11","Grant Mismash","Base","1 - Common"
"B-12","Zaine McKenzie","Base","1 - Common"
"AB-1","Kevin Moore","Alt Base","1 - Common"
"AB-2","Coltyn Bates","Alt Base","1 - Common"
"AB-3","Jere Vertanen","Alt Base","1 - Common"
"AB-4","William Boysen","Alt Base","1 - Common"
"AB-5","Joel Bearman","Alt Base","1 - Common"
"AB-6","Sam Ruffin","Alt Base","1 - Common"
"AB-7","Dershahn Stewart","Alt Base","1 - Common"
"AB-8","Colton Saucerman","Alt Base","1 - Common"
"AB-9","Mike Pelech","Alt Base","1 - Common"
"AB-10","Artie Buzoberya","Alt Base","1 - Common"
"AB-11","Elijiah Barriga","Alt Base","1 - Common"
"AB-12","Connor Russell","Alt Base","1 - Common"
"MC-1","Scorch","Mascot","1 - Common"
"CBC-1","Michael Tasker","Classics","1 - Common"
"CBC-2","A.J. Kelham","Classics","1 - Common"
"CBC-3","Stephen Cooper","Classics","1 - Common"
"CBC-4","Steve Chartrand","Classics","1 - Common"
"HT-1","Archie Hazeldine","Hometown","2 - Uncommon"
"HT-2","Mack Stewart","Hometown","2 - Uncommon"
"HT-3","David Clements","Hometown","2 - Uncommon"
"HT-4","Alessio Luciani","Hometown","2 - Uncommon"
"PT-1","Colton Saucerman","Portraits","2 - Uncommon"
"PT-2","Ivan Chukarov","Portraits","2 - Uncommon"
"PT-3","Elijiah Barriga","Portraits","2 - Uncommon"
"CC-1","Dershahn Stewart","Canvas","2 - Uncommon"
"CC-2","Jack Hopkins","Canvas","2 - Uncommon"
"CC-3","Connor Russell","Canvas","2 - Uncommon"
"SH-1","Matthew Gleason","Sharpshooter","2 - Uncommon"
"PM-1","Alessio Luciani","Playmaker","2 - Uncommon"
"BL-1","Colton Saucerman","Blueliner","2 - Uncommon"
"BL-2","Jere Vertanen","Blueliner","2 - Uncommon"
"GD-1","Mat Robson","Guardian","2 - Uncommon"
"16-1","Archie Hazeldine","16-Bit","2 - Uncommon"
"16-2","David Clements","16-Bit","2 - Uncommon"
"16-3","Zaine McKenzie","16-Bit","2 - Uncommon"
"16-4","William Boysen","16-Bit","2 - Uncommon"
"FF-1","Matthew Gleason","Fan Faves","2 - Uncommon"
"FF-2","Colton Saucerman","Fan Faves","2 - Uncommon"
"PS-1","Sam Ruffin","Poster","2 - Uncommon"
"PS-2","Mat Robson","Poster","2 - Uncommon"
"PS-3","Ivan Chukarov","Poster","2 - Uncommon"
"PS-4","Colton Saucerman","Poster","2 - Uncommon"
"SS-1","Ivan Chukarov","Signature Series","3 - Rare"
"SS-2","Jere Vertanen","Signature Series","3 - Rare"
"SS-3","Zaine McKenzie","Signature Series","3 - Rare"
"SS-4","Colton Saucerman","Signature Series","3 - Rare"
"SS-5","Jack Hopkins","Signature Series","3 - Rare"
"SS-6","Connor Russell","Signature Series","3 - Rare"
"OW-1","Joel Bearman","Ones to Watch","3 - Rare"
"OW-2","Mack Stewart","Ones to Watch","3 - Rare"
"OW-3","Billy Thorpe","Ones to Watch","3 - Rare"
"AS-1","David Clements","All Star","3 - Rare"
"AS-2","Colton Saucerman","All Star","3 - Rare"
"AS-3","Grant Mismash","All Star","3 - Rare"
"PR-1","Ivan Chukarov","Prism","3 - Rare"
"PR-2","Grayson Constable","Prism","3 - Rare"
"PR-3","Elijiah Barriga","Prism","3 - Rare"
"IB-1","Alessio Luciani","Ice Breaker","3 - Rare"
"IB-2","Colton Saucerman","Ice Breaker","3 - Rare"
"IB-3","Grant Mismash","Ice Breaker","3 - Rare"
"IB-4","Kim Tallberg","Ice Breaker","3 - Rare"
"EC-1","Colton Saucerman","Editors Choice","3 - Rare"
"EC-2","Alessio Luciani","Editors Choice","3 - Rare"
"EH-1","Artie Buzoberya","Exceptional Hits","4 - Ultra Rare"
"EH-2","Matthew Gleason","Exceptional Hits","4 - Ultra Rare"
"EH-3","Kim Tallberg","Exceptional Hits","4 - Ultra Rare"
"EA-1","Joel Bearman","Exclusive Autos","4 - Ultra Rare"
"EA-2","Mike Pelech","Exclusive Autos","4 - Ultra Rare"
"EA-3","Sam Ruffin","Exclusive Autos","4 - Ultra Rare"
"DD-1","Luciani Barriga","Dynamic Duo","4 - Ultra Rare"
"LD-1","Leadership","Leadership","4 - Ultra Rare"